Risky Sentences,T/F (Personally),s (a scenario identification or description),p (the probability of that scenario),c(the consequence or evaluation measure of that scenario),T/F
"Truth Social was generally made available in the first quarter of 2022.TMTG prides itself on operating its platform, to the best of its ability, without relying on big tech companies.Partnering with pro-free-speech alternative technology firms, Private TMTG fully launched Truth Social for iOS in April 2022.Private TMTG debuted the Truth Social web application in May 2022, and the Truth Social Android App became available in the Samsung Galaxy and Google Play stores in October 2022.Private TMTG introduced direct messaging to all versions of Truth Social in 2022, released a ""Groups” feature for users in May 2023 and announced the general availability of Truth Social internationally in June 2023.",F,0,0,0,F
"It removes the need for point tools and delivers enhanced operational efficiency by eliminating manual work, increasing productivity, and creating a culture of innovation and velocity.GitLab also embeds security earlier into the development process, improving our customers' software security, quality, and overall compliance.GitLab is available to any team, regardless of the size, scope, and complexity of their deployment.As a result, we have more than 30 million registered users, and more than 50% of the Fortune 100 companies are GitLab customers.For purposes of determining the number of our active customers, we look at our customers with more than $5,000 of Annual Recurring Revenue, or ARR, in a given period, who we refer to as our Base Customers.",T（截取内容不够准确）,1,0,1,F
"Our cloud platform's powerful Elasticsearch clusters enable customers to instantly find detailed data on any asset.Our core services include: • Asset Tagging and Management.Enables customers to easily identify, categorize and manage large numbers of assets in highly dynamic IT and OT environments and automates the process of inventory management and hierarchical organization of all internal and external assets.Built on top of this core service is the Qualys GAV framework, which is a global asset inventory service enabling our customers to search for information on any asset, scaling to millions of assets for customers of all sizes, helping IT and security personnel to search assets and maintain an up-to-date inventory on a continuous basis.• Reporting and Dashboards.",F,0,0,0,F
"Ingredient Solutions Segment.Our Ingredient Solutions segment consists primarily of specialty wheat starches, specialty wheat proteins, commodity wheat starches, and commodity wheat proteins products which are sold to customers pursuant to purchase orders.In our efforts to best serve our customers and maximize returns to stockholders, we have strategically been migrating our sales towards higher price, higher margin specialty wheat products.During 2023, our five largest Ingredient Solutions customers, combined, accounted for approximately 11 percent of our consolidated sales.Specialty Wheat Starches -",T（strategic 产品）,1,0,1,F
"Physical: Customers can customize the look and feel, graphics, and messaging of physical cards to reinforce their brand.Physical cards can be magstripe, EMV-chip, and/or tap-to-pay enabled.Tokenization & Digital Wallets: Customers can instantly issue branded payment cards that are ready to use immediately in app or in mobile wallets, which provides for continuity if the physical cards are lost or stolen.Processing Marqeta enables our customers to deliver innovative card experiences with enhanced control over transaction processing through dynamic spend controls and real-time decisioning via our JIT Funding feature.Dynamic Spend Control: Dynamic spend controls create unique card experiences while reducing customer exposure to risk by limiting where users can transact and configuring exact spend limits.",F,1,0,0,F
"Research and Development Expenses Research and development costs are expensed as incurred and include salaries, benefits, consulting, material costs and  depreciation.Research and development expenses amounted to $53.5 million in 2023, $48.3 million in 2022 and $43.3 million  in 2021.These costs are included in Cost of Products Sold.Human Capital Resources Human Capital Management and Corporate Culture As of December 31, 2023, we employed approximately 2,500 employees, of whom approximately 2,000 were employed in the  United States and approximately 500 were employed outside of the United States.We have approximately 140 non-exempt  production employees at PECO who are subject to collective bargaining agreements.",F,0,0,0,F
"In 2021, Consumer Report praised BurgerFi for serving ""no antibiotic beef"" across all its restaurants, and Consumer Reports awarded BurgerFi an “A-Grade Angus Beef” rating for the third consecutive year.Anthony's is a premium pizza and wing brand, which prides itself on serving fresh, never frozen, high-quality ingredients.The concept is centered around a 900-degree coal fired oven, and its menu offers “well-done” pizza, coal fired chicken wings, homemade meatballs, and a variety of handcrafted sandwiches and salads.The restaurants also feature a deep wine and craft beer selection to round out the menu.The pizzas are prepared using a unique coal fired oven to quickly seal in natural flavors while creating a lightly charred crust.",F,0,0,0,F
"We  believe the breadth and depth of experience amongst our management team will enable us to advance the clinical and development strategy  for bel-sar and, if approved, its commercialization.Our Chairman of the Board of Directors, David Johnson, is a biopharmaceutical industry  veteran with more than 25 years of experience in drug development.Mr. Johnson is currently Chief Executive Officer and founder of Solve  Therapeutics, Inc., a biotechnology company developing next-generation mAb-based oncology therapeutics.Prior to founding Solve  Therapeutics, he was Chief Executive Officer of VelosBio Inc., an oncology company acquired by Merck & Co. for $2.75 billion in 2020.He  was also Chief Executive Officer at Acerta Pharma, which was acquired by AstraZeneca for $7 billion.",T,0,0,0,F
"Net revenue by the geographical location where the product is shipped is as follows:% of Net  Revenue United States   $ 1,342,366   91.2%   $ 1,368,518   88.0%   $ 1,393,402   85.1% EuropeNet revenue   $ 1,472,508       $ 1,555,429       $ 1,636,624Fiscal 2022 and Fiscal 2021 includesNet revenue of $32.7 million and $43.3 million, respectively, from the Japan eCommerce distribution channel.",F,0,0,0,F
"To the extent that these initiatives lead to the  promulgation of new regulations or supervisory guidance applicable to the Company or the Bank, we would likely experience increased compliance costs  and other compliance-related risks.The lack of empirical data surrounding the credit and other financial risks posed by climate change render it impossible  to predict how specifically climate change may impact the Company's financial condition and results of operations.Risks Related to Strategic PlanningWe intend to engage in acquisitions of other banking institutions from time to time.These acquisitions may not produce revenue or earnings  enhancements or cost savings at levels, or within time frames, originally anticipated and may result in unforeseen integration difficulties.",T,1,1,1,T
"The projected growth rates for digitally-stored data on HDDs exceed the rate of areal density improvements, at the same time as the tie ratio is increasing, which results in demand for magnetic disks outpacing HDD units.In recent years HDD media units have been negatively impacted by an overall decline in desktop PC units, the adoption of solid state drives (“SSDs”) in desktops, as well as laptops and other mobile devices, and the transition to centralized storage.Although the HDD industry continues to expect growth in the nearline data storage market segment, the transition to centralized storage combined with the negative growth in PC shipments has resulted in lower HDD shipments in recent years.However, Intevac continues to believe that long-term demand for hard disks required for high capacity HDDs will increase, driven by growth in demand for digital storage, a slowing growth rate in areal density improvements, and increased information technology spending to support the transition to cloud storage.The number of disk manufacturing systems needed to support this growth as well as future technology transitions and improvements is expected to vary from year to year depending on the factors noted above.",T,1,1,1,T
"Our products and solutions are strategically aligned to support new customer growth and promote customer retention.Some solutions are broadly applicable across many different types of entities and departments, while others are specific to certain markets.Public Sector Our Public Sector vertical is comprised of more than 100 unique software products designed to make governments run more efficiently.Payments are often embedded into these software products, providing customers with a seamless experience as well as an additional revenue stream.We serve customers at both the state and local level and our geographic reach covers most of the United States and some of Canada.",T（经营范围，可以用于判断市场是否单一）,1,0,1,F
"The results from the initial  cohorts of the CONNECT1 study will inform the conduct of the CONNECT2 study, which is designed to support a potential accelerated approval pathway  for PGN-EDO51, subject to alignment with regulatory authorities.Building on the high levels of exon skipping of PGN-EDO51 observed in our preclinical  studies and Phase 1 trial in HVs, we believe that repeat dosing of PGN-EDO51 may lead to therapeutically relevant accumulation of DMD exon 51-skipped  transcript and an  4associated increase in dystrophin protein in patients, which may in turn drive meaningful clinical benefit for those who live with this devastating,  progressive, life-shortening disease.We are also developing PGN-EDODM1 for the treatment of DM1 and are utilizing what we believe to be a unique mechanism of action and a  different delivery approach compared to other approaches in more advanced stages of clinical development.The therapeutic oligonucleotide component of  PGN-EDODM1 is engineered to bind to the pathogenic cytosine-uracil-guanine, or CUG repeat expansion present in the myotonic dystrophy protein  kinase, or DMPK, messenger RNA, or mRNA, of DM1 patients, thus reducing the ability of these expanded trinucleotide repeats to bind and sequester  RNA binding proteins including MBNL1, a critical RNA splicing factor.",F,0,0,0,F
"The flywheel, comprising four stages, empowers brands to: (1) understand what customers want by analyzing conversational data to drive actionable business decisions through proprietary analytics utilizing data to target end users with compelling engagement options at any step in the conversion funnel and throughout the customer lifecycle; (2) connect business systems to channels, engaging consumers where they are and feeding those conversations back into the systems brands use every day, maximizing online revenue opportunities, improving conversion rates and reducing shopping cart abandonment by proactively engaging the right visitor, using the right channel, at the right time; (3) assist teams with AI-powered tools and insights designed to help them focus on the tasks and interactions that matter most, providing real-time recommendations to human agents, and leveraging automation and human agents working together seamlessly to support consumers, all over our best-in-class agent workspace; and (4) automate to enable self- service and drive faster resolutions, through personal, connected interactions; all feeding data back into the system.This comprehensive solution blends a proven value-based methodology with an active rules-based engagement engine and deep domain expertise to increase first-contact resolution, improve consumer satisfaction, and reduce attrition rates.LivePerson's Conversational AI.LivePerson's Conversational AI, announced in December 2018, operates as the brains behind LivePerson AI-based products, and was developed using our conversational data set of billions of brand-to-consumer interactions.LivePerson's digital customer conversation platform enables what we call “the tango” of humans, LivePerson bots, third-party bots, and LLMs, whereby humans act as bot managers, overseeing AI- powered conversations and seamlessly stepping into the flow when a personal touch is needed.",F,0,0,0,F
"In contrast, PPIs require three to five days to reach steady state acid suppression  and do not reliably maintain target acid inhibition over a 24-hour period.In addition, vonoprazan demonstrated approximately 10- to-100-fold better acid control compared to lansoprazole and esomeprazole.Vonoprazan has demonstrated clinical advantages over the PPI lansoprazole in the treatment of Erosive GERD and H. pylori  infection in completed Phase 3 clinical trials conducted in the United States and Europe, including:   more complete healing of Erosive GERD in patients with moderate to severe disease after two weeks;  more durable healing of Erosive GERD in patients with all grades of disease; 7 higher H. pylori eradication rates in combination with antibiotics compared to standard of care triple therapy; and  more flexible dosing, including dosing independent of food and time of day.Moreover, we believe that vonoprazan's anti-secretory mechanism has the potential to contribute to additional clinical  advantages over PPIs such as rapid symptom relief through ""as needed"" dosing in the treatment of patients with Non-Erosive GERD.FDA approval of VOQUEZNA for the healing and maintenance of healing of all grades of erosive esophagitis and  relief of heartburn associated with erosive esophagitis in adults was based on the results from PHALCON-EE, our Phase 3 clinical trial  conducted in the United States and Europe.",F,0,0,0,F
"Gilroy: . . . . . . . . . . . . . . .  Branch Office  Redwood City:. . . . . . . . Branch Office7598 Monterey Street 2400 BroadwayGilroy, CA 95020  Redwood City, CA 94063Hollister: . . . . . . . . . . . . .  Branch Office  San Francisco: . . . . . . . . Branch Office351 Tres Pinos Road 120 Kearny Street",F,0,0,0,F
"Ownership  ZERUST CONSUMER PRODUCTS, LLC  United States  50%  ZERUST OY  Finland  50%  ZERUST SPECIALTY TECH CO.Thailand (1)  30%  ____________________  (1) Indirect ownership interest through NTI Asean.For more information regarding NTIC's joint ventures and their effect on NTIC's operating results, see NTIC's  consolidated financial statements in “Part II.Item 8. Financial Statements and Supplementary Data” and “Part II.Item  7. Management's Discussion and Analysis of Financial Condition and Results of Operations” of this report.",F,0,0,0,F
"As a result of thoughtful investments in our technology, we have developed robust and differentiated infrastructure that has enabled us to scale in a cost-efficient manner.Our operating efficiency supports a low capital expenditure environment to develop product enhancements that drive organic growth across our SMB, B2B and Enterprise payment ecosystems, as well as attract both reselling partners and enterprise clients looking for best-in-class solutions.By creating a cost-efficient environment that facilitates the combination of ongoing product innovation to drive organic growth and stable cash flow to fund acquisitions, we anticipate ongoing economies of scale and increased margins over time.• Experienced Management Team Led by Industry Veterans –Our executive management team has a record of execution in the merchant acquiring and technology-enabled payments industry.",T,1,1,1,T
"Our industrial and concept design tools generate early concepts to address requirements for ergonomics, aesthetics, performance, manufacturing feasibility,  and cost.These tools are all driven by simulation and machine learning algorithms.We believe these products are emerging as a market force with the  potential to eclipse traditional computer-aided design (CAD) in both the mechanical and electronics worlds.At the core of Altair's simulation software portfolios are mathematical software “solvers” that use advanced computational algorithms to predict physical  performance.Optimization leverages these solvers to derive the most efficient solutions to meet desired complex multi-objective requirements.",F,1,0,1,F
"The Company's recent technological integrations with META, created a seamless, native, friction-free checkout process for Facebook and Instagram users to purchase MARKET.live vendors' products within each of those popular apps.This integration allows Facebook and Instagram users to browse products featured in MARKET.live shoppable videos, place products in a native shopping cart and checkout – all without leaving Facebook or Instagram.On September 5, 2023, the Company completed development work on a new MARKET.",F,1,0,0,F
"We have not incorporated by reference into this annual report  the information on our website and investors should not consider it to be a part of this document.Our website address is included  in this document for reference only.Our annual report, quarterly reports, current reports and amendments to those reports are  4 made available free of charge through the investor relations section on our website as soon as reasonably practicable after  electronically filed with or furnished to the Securities and Exchange Commission (“SEC”).We have developed a unique business model that primarily focuses on leisure travelers in under-served cities.The business  model has evolved as our experienced management team has looked differently at the traditional way business has been  conducted in the airline and travel industries.",T（商业模式）,1,0,1,F
"The Biden administration ended the COVID-19 national and public health emergencies on May 11, 2023.The long term impact that the cessation of certain benefits provided under emergency relief programs will have on our consumers is uncertain although the remaining financial statement impact for those customers previously provided the aforementioned short-term payment deferrals and fee waivers is not material.The Company remains committed to serving our bank partners, merchant partners, health care providers and consumers.For more information, refer to Part I, Item 1A ""Risk Factors"" and, in particular, ""Other Risks of our Business – The reaction to COVID-19 has caused severe disruptions in the U.S. economy and may have a further adverse impacts on our performance, results of operations and access to capital"" and ""Other Risks of our Business – Our business and operations may be negatively affected by rising prices and interest rates.""Receivables Management and Risk Mitigation",T,1,1,1,T
"The results and improvements from these investments are shared among the segments.This exchange of  improvements and ideas has also prompted better and faster innovation for new products, processes, and product  improvements.Importantly, the restructuring allows us to better evaluate market conditions and opportunities, while effectively allocating  capital and resources to the appropriate segments and business units.Also, we believe that the diversification and manner  in which we operate our business provides an inherent hedge against the inevitable business cycles that our markets  experience and over which we have little control.Accordingly, our goal is to provide stable earnings and cash flows to our  shareholders.",T,1,1,1,T
"AvComm solutions encompass a full spectrum of  instrumentation, which include turnkey systems, stand-alone instruments and modular components that provide  customers with highly reliable, customized, innovative and cost-effective testing tools and resilient Positioning,  Navigation and Timing (PNT) solutions for critical infrastructure serving military and civilian applications.Our NE segment provides solutions for CSPs, as well as NEMs and data center providers that deliver and/or  operate broadband/IP networks (fixed and mobile) supporting voice, video and data services as well as a wide  range of applications.These solutions support the development and production of network equipment, the  deployment of next generation network technologies and services, and ensure a higher-quality customer  experience.AvComm products are positioned in all of the customers' product life cycle phases from research &  development (R&D), manufacturing, installation, deployment and field, to depot repair and maintenance of devices.Customers  NE customers include CSPs, NEMs, government organizations and large corporate customers, such as major  telecom, mobility and cable operators, chip and infrastructure vendors, storage-device manufacturers, storage- network and switch vendors, radio and avionics commercial companies, original equipment manufacturers (OEMs),  state and federal agencies, utilities, law enforcement, military contractors and the armed forces and deployed  private enterprise customers.",F,1,0,0,F
"The personal  and hair care category of the Beauty & Wellness segment sources most of its products from U.S.  manufacturers.Finished goods manufactured by vendors in Asia comprised approximately 87%, 88%,  and 80% of finished goods purchased in fiscal 2023, 2022, and 2021, respectively.We occupy owned and leased office and distribution space in various locations to support our operations.These facilities include our U.S. headquarters in El Paso, Texas, and distribution centers in Southaven,  Mississippi, and Olive Branch, Mississippi, which are used to support a significant portion of our domestic  distribution.In March 2023, we completed the construction of an additional distribution facility in  Gallaway, Tennessee that became operational during the first quarter of fiscal 2024.",T（生产产品的地点）,1,0,0,F
"This process is mediated in part by a family of proteins called E3 ligases.The primary role of E3 ligases is to act as a quality control inspector by identifying proteins that are old, damaged, misfolded or otherwise deemed ready for degradation.When an E3 ligase identifies a target protein for degradation, it attaches a molecular tag called ubiquitin in a process called ubiquitination.This ubiquitination process typically continues until the target protein is tagged with multiple ubiquitins, known as poly-ubiquitination.Once the target protein is poly-ubiquitinated, it is released by the E3 ligase and is then quickly recognized by a proteasome, which is the cell's recycling plant.",F,0,0,0,F
"None of our clients individually represented more than 1% of our total  revenues in 2023.As a PEO that aligns with the mission of business owners by providing resources and guidance to small and mid-size businesses, BBSI believes its growth is  driven by the desire of business owners to focus on mission-critical functions, reduce complexity associated with the employment function, mitigate costs and  maximize their investment in human capital.Our integrated management platform has enabled us to capitalize on these needs within the small to mid-size  business sector.The small and mid‑sized business segment is particularly attractive because: • it is large, continues to offer significant growth opportunity and remains underserved by professional services companies; • it typically has fewer in-house resources than larger businesses and, as a result, is generally more dependent on external resources; • we generally experience a relatively high client retention rate and lower client acquisition costs within this market segment; and • we have found that small to mid-sized businesses are responsive to quality of service when selecting a PEO or staffing services provider.The business environment in which we operate is characterized by intense competition and fragmentation.",T,1,0,1,F
"Our micro-hospitals generate revenue from both emergency services and in-patient services, providing operating leverage and high earning potential of each facility.We believe that wait times are significantly lower than traditional ER settings and patients are welcomed by a friendly, attentive staff and physician team.Our hospital division generally operates as an out-of-​network provider and, as such, does not have negotiated reimbursement rates with insurance ​companies.When developing new hospitals, we provide a turn-key process from location selection, real estate design, ​and development of the facility to staffing, training and operations.Our management and administrative teams provide a comprehensive suite of ​operational and managerial services to hospitals, including management, billing, collections, human resources and recruiting, legal, accounting, ​and marketing.",F,1,0,0,F
"We also evaluated our operating  model to ensure we have the organizational structure and capabilities needed to deliver consistent profitable growth.Through  this work, we validated the Company's strengths that we can leverage as we move forward.We also identified opportunities  for improved performance.Following this review, we established a new enterprise strategy, with three key elements: 1. Become the economic leader in our target markets.We will achieve this by developing a deep understanding of  our target markets and aligning our businesses with clear go-to-market strategies to drive value for our customers  through differentiated product and service offerings.",T（内容不完整）,1,0,0,F
"Substantially all of the Bank's business is with customers in its market areas of Southern New Jersey, the Philadelphia area of Pennsylvania, and New York, New York.We have carefully expanded our lending footprint in other areas also.Most of 1 the Bank's customers are individuals and small to medium-sized businesses which are dependent upon the regional economy.Adverse changes in economic and business conditions in the Bank's markets could adversely affect the Bank's borrowers, their ability to repay their loans and to borrow additional funds, and consequently the Bank's financial condition and performance.Additionally, most of the Bank's loans are secured by real estate located in Southern New Jersey and the Philadelphia area.",T,1,1,1,T
"The dealer channel of the market is the largest by  volume, characterized by a high degree of entrepreneurship and one that rewards suppliers that deliver great service.Our ability  to provide superior value delivered with exceptional service has helped drive our expansion into this channel and this channel  will continue to be a strong growth and market share opportunity for us.Within our distributor channel we also sell our  Timberlake® brand through a network of regional distributors who are focused on selling a complete variety of building  materials to small and midsized builders and contractors within their local markets.During fiscal 2023, independent dealers and  distributors accounted for approximately 13.9% of net sales of the Company.Manufacturing, Distribution and Service  Our manufacturing facilities are strategically located to serve our customers, which enhances our ability to provide high quality,  value priced products with low production costs.",T,1,0,0,F
"The number of free travel awards as a percentage of total revenue passengers was approximately 8% and 7% in 2023 and 2022, respectively.We believe displacement of revenue passengers by passengers using free travel awards is reduced by our ability to manage frequent flyer seat inventory, and the relatively low ratio of free award usage to total revenue passengers.Enhancing our loyalty offering, for HawaiianMiles members who do not reach Pualani elite status, we offer our Premier Club subscription program.Launched over 30 years ago, our subscription service allows members to enjoy free baggage, access to airport clubs, priority check-in and other value adds.With an annual rate of up to $299, Hawaiian is able to generate ancillary revenues while helping to keep future customer purchases on Hawaiian flights.",T,1,1,1,T
"Although we have not independently verified the third-party data, we are responsible for its inclusion in the  annual report and believe it to be reasonable.General At Veracyte, we believe that exceptional cancer care begins with exceptional diagnostics.We are a global diagnostics  company that empowers clinicians with the high-value insights they need to guide and assure patients at pivotal moments in the  race to diagnose and treat cancer.Our high-performing tests enable clinicians to make more confident diagnostic, prognostic  and treatment decisions, helping patients avoid unnecessary procedures and interventions, and accelerating time to appropriate  treatment, thereby improving outcomes for patients all over the world.With our acquisition of C2i, a minimal residual disease,  or MRD, detection company, which was completed in February 2024, we aim to expand our role across the cancer continuum,  moving from providing early decision support to following the patient through treatment, helping to monitor the success of a  therapeutic or surgical intervention, and supporting the determination of the best course of action for each patient.",F,1,0,0,F
"We directly  contract with Medicare and Medicaid on a per member, per month (“PMPM”) basis, which creates recurring revenue  streams and provides significant visibility into our revenue trajectory.We receive 100% of the pooled capitated payment to  directly provide or manage the healthcare needs of our participants.Industry Challenges  Unsustainable and rising healthcare costs.According to data from the Office of the Actuary of CMS, healthcare  spending in the United States grew at approximately 5% per year from 2016 to 2021, and in 2021 represented $4.3 trillion  of annual spend, or 18.3% of U.S. GDP.The overall growth rate of healthcare spending is expected to accelerate due to the  aging population.",T,1,0,1,F
"non-productive mRNA failing to be translated into protein and the right panel showing our ASOs binding to the pre-mRNA and redirecting the splicing  machinery.Exhibit 3: NMD exon without TANGO-ASO  Exhibit 4: NMD exon with TANGO-ASOSource: Stoke data Advantages of TANGOWe believe TANGO has the ability to address the underlying genetic cause of disease may have several key advantages versus other genetic  approaches, including:  • Selectively boosts expression only in tissues where the protein is normally expressed.The activities of our ASOs are inherently tissue- specific.",F,1,0,1,F
"We nominated IK-595 as our development candidate in our RAS pathway program in November 2022.IK-595 is designed to robustly  inhibit MEK-RAF by gluing MEK and the RAFs (A, B, and C) in an inactive complex, thus more completely inhibiting RAS signals than existing  inhibitors.ability to complex CRAF, in particular, has been shown in preclinical models to prevent a well-recognized signaling bypass mechanism that cancer cells  employ to drive therapeutic resistance to other MEK and RAF drugs in this class.In addition, trapping CRAF in an inactive complex has been shown in  preclinical models to prevent the kinase independent anti-apoptotic function in RAS and RAF mutant cancers, a mechanism that cannot be addressed with  first generation MEK inhibitors or pan-RAF inhibitors.We are developing IK-595 as an oral therapy, with a half-life designed to enable a pharmacokinetic  profile that we believe can be potentially superior to other pathway inhibitors, with the goal of optimizing the therapeutic window for patients.",F,1,0,1,F
"The sale transaction is expected to close in the first quarter of 2024.In 2023, we wrote $1,508.7 million of gross written premiums from continuing operations, allocated by segment and underlying market as follows: Gross Written Premiums by Segment Gross Written PremiumsDecember 31, 2023 % of Total (in thousands) Excess and Surplus Lines segment $ 1,007,351  66.8 % Specialty Admitted Insurance segment 501,309  33.2 % $ 1,508,660  100.0 % Gross Written Premiums by Market Non-admitted markets $ 1,081,830  71.7 % Admitted markets 426,830  28.3 % $ 1,508,660  100.0 % The A.M. Best Company (“A.M. Best”) financial strength rating for our group's regulated U.S. subsidiaries is “A-” (Excellent).This rating reflects A.M. Best's evaluation of our U.S. subsidiaries' financial strength, operating performance and ability to meet obligations to policyholders and is not an evaluation directed towards the protection of investors.The rating for our U.S. operating companies of “A-” (Excellent) is the fourth highest rating of the thirteen ratings issued by A.M. Best and is assigned to insurers that have, in A.M. Best's opinion, an excellent ability to meet their ongoing obligations to policyholders.",T,1,0,1,F
"See Note 4 - Acquisitions, within the notes to the consolidated financial statements for further detail.Executive Summary Financial Highlights Results for the year ended December 31, 2023 included net income of $1.1 billion, or $13.69 per diluted share, which compares to $845.7 million, or $10.40 per diluted share, for the year ended December 31, 2022.Asset Trends Total advisory and brokerage assets served were $1.4 trillion at December 31, 2023, compared to $1.1 trillion at December 31, 2022.Total net new assets were $104.1 billion for the year ended December 31, 2023, compared to $95.9 billion for the same period in 2022.Net new advisory assets were $76.0 billion for the year ended December 31, 2023, compared to $52.4 billion in 2022.",T（但是是数字的变化是不是可以不算在里面）,1,0,1,F
"On December 31, 2023, we employed 813 people, of whom 467 work directly developing and maintaining network  operations, 132 in sales and sales support, 68 in shared services, 76 accounting and finance related positions and 70 in  operations support roles.None of our employees are subject to a collective bargaining agreement.Our employees are our most important resources and their success ultimately creates our own.We fuel their success by  offering career growth, recognition and appreciation programs, fulfilling work relationships, empowerment, mentoring, and  training and development opportunities.We demonstrate the value we place in our employees financial, physical and  emotional health by providing our employees with competitive salaries, health benefits, investment opportunities, vacation  options and a generous paid volunteer program, among other benefits.",T,0,0,1,F
"Recent Acquisitions Kinetic Technologies On January 25, 2024 (the “Deal Closing Date”), indie and ADK LLC completed an Asset Purchase Agreement (the “APA”),  carving out certain assets, including R&D personnel and intellectual properties (“IP”) from Kinetic Technologies (“Kinetic”), in  support of a custom product development for a North American electric vehicle OEM.The closing consideration consisted of  (i) $4.5 million in cash as the initial cash consideration, subject to adjustments for an adjustment holdback amount of  $0.5 million and an indemnity holdback amount of $0.8 million, payable after the 18-month anniversary of the Deal Closing  Date in shares of Class A common stock, par value $0.0001 (the “Class A common stock”), (ii) $3.0 million of total contingent  considerations, payable in cash or Class A common stock, subject to achievement of certain production based milestones 24  months after the Deal Closing Date, and (iii) $2.5 million of contingent considerations, payable in cash or Class A common  stock, subject to achievement of a revenue based milestone 12 months after the Deal Closing Date.The purchase price is  subject to working capital and other adjustments as provided the APA.Exalos AG On September 18, 2023, Ay Dee Kay Ltd. (“indie UK”) completed its acquisition of all of Exalos AG, a Swiss corporation  (“Exalos”), pursuant to the Share Sale and Purchase Agreement by and among indie UK, indie and all of the stockholders of  Exalos, whereby indie UK acquired all of the outstanding common shares of Exalos.The closing consideration consisted of (i)  the issuance by indie of 6,613,786 shares of Class A common stock, with a fair value of $42.8 million; (ii) a contingent  consideration with fair value of $13.2 million at closing, payable in cash, subject to Exalos' achievement of certain revenue- based milestones through September 30, 2025; and (iii) a holdback of $2.5 million subject to final release 12 months from the  acquisition date payable in shares of Class A common stock.",F,1,0,1,F
"One case of  grade 4 hypocellular bone marrow was determined to be related to both GB1211 200 mg and atezolizumab.The other two serious adverse events were  autoimmune-type skin rashes (showing perivascular lymphocytic infiltrates), one of which was a grade 3 case of autoimmune pemphigus determined to be  related solely to atezolizumab and the other was a grade 4 case of skin rash determined to be related to both GB1211 200 mg and atezolizumab.As a result  of these skin reactions and in accordance with the protocol, we reduced the GB1211 dose to 100 mg twice daily for the second patient cohort.The skin  reactions were similar to those historically observed with atezolizumab and described in the label.Both reactions responded to therapy with  glucocorticosteroids and were clinically manageable.",F,1,0,0,F
"In September 2022, we announced that the first patient had been dosed in a Phase 2 trial evaluating nirogacestat as a monotherapy in adult patients with recurrent ovarian GCT, and in May 2023, we announced full enrollment of the trial.We expect to report initial data from the trial in the second half of 2024.Nirogacestat in combination with BCMA-targeted agents BCMA is a cell surface protein universally expressed on multiple myeloma, or MM, cells, and the clinical activity of monotherapy BCMA-targeted agents have been demonstrated in this indication.GSIs have been shown to increase BCMA expression on MM cells.Activity of this combination mechanism has been observed in multiple preclinical models of MM using BCMA-directed therapies in combination with GSIs, as well as in initial clinical data.",F,1,0,0,F
"Metals service centers respond directly to customer needs and emphasize value-added processing of metals pursuant to specific customer demands, such as cutting-to-length, slitting, shearing, roll forming, shape correction and surface improvement, blanking, tempering, plate burning, stamping, bending and welding.These processes produce metals to specified lengths, widths, shapes and surface characteristics through the use of specialized equipment.Metals service centers typically have lower cost structures than and provide services and value-added processing not otherwise available from, metals producers.End product manufacturers and other metals users seek to purchase metals on shorter lead times and with more frequent and reliable deliveries than can normally be provided by metals producers.Metals service centers generally have lower labor costs than metals producers and consequently process metals on a more cost-effective basis.",T,1,0,1,F
"Their small form factor enables higher functional density in less space.Finally, our FPGAs are I/O rich, which allows for more connections with system application specific integrated circuits (""ASICs"") and application specific standard products (""ASSPs"").Examples of where our products enable intelligent automation in the Industrial and Automotive Market include industrial Internet of Things (""IoT"") and ""Industry 4.0"", machine vision, robotics, factory automation, advanced driver assistance systems (""ADAS""), and automotive infotainment.Our Industrial and Automotive customers face numerous challenges:● As factories automate to improve efficiency and employee safety, sensors, machine vision, and robotics are proliferating, in turn requiring increasing amounts of data to be gathered, connected, and processed.",F,1,0,0,F
"We produce and purchase a wide variety of blue, white, green and UV LED chips, including our EV LED product series, currently  ranging from chip sizes of 380 microns, or µm, by 380µm to 1520µm by 1520µm.We sell our LED chips to packaging customers or to  distributors, who in turn sell to packagers.Our LED chips are used primarily for applications in the specialty lighting market, including  commercial, and industrial sectors.Our LED chips may be used in specialty industrial applications, such as UV curing of polymers, LED  light therapy in medical/cosmetic applications, counterfeit detection, LED lighting for horticulture applications, and architectural lighting.Currently, we focus mostly on UV LED applications.",F,1,0,0,F
"These product features failed to address the top factor that impacts employee engagement, an employee's leader.One of the top drivers of employment engagement is an employee's direct manager.Employers have long known employee engagement leads to higher productivity and decreased risk of attrition.A 2022 study conducted by Gallup revealed that only 32% of employees in the U.S. are engaged by their work, and a 2019 Gartner study showed employee engagement to be the need least met by existing HCM solutions.We believe the next evolution of HCM software will empower leaders with tools to effectively identify and coach current employees and evolve them into leaders, partner with their leader to optimize career development, deepening their engagement to drive business results.",T,1,1,1,T
